Census_Block_Groups.ObjectID,Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Feature Class Code,Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Object  Identifier,Geographic Identifier,State Federal Information Processing Series (FIPS) codes,County Federal Information Processing Series (FIPS) Code,Tract Code,Block Group Code,Base Geographic Name,Block Group Name,Legal/Statistical Area Description Code,Functional Status,Land Area (Square Meters),Water Area (Square Meters),Centroid Latitude,Centroid Longitude,Internal Point Latitude,Internal Point Longitude,Census_Block_Groups.SHAPE_Length,Census_Block_Groups.SHAPE_Area,Census_Block_Groups.Population_Density,Population_Density,allegheny_county_acs_2024_block_groups.OBJECTID,NAME,B01003_001E,B01002_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B17001_001E,B17001_002E,B25044_001E,B25044_003E,B25044_010E,state,county,tract,block group,Population,Population over 65,Median Age,Poverty Population,Household in total,Household with no vehicle,Population Percentage over 65,Poverty Population Rate,Household No Vehicle Rate,GEO_ID
6727,G5030,208903717072385,420031014002,42,003,101400,2,2,Block Group 2,BG,S,115857,0,+40.4844952,-079.9284287,+40.4844952,-079.9284287,1876.318304,200491.5307,0.003754629,0.003754629,73,Block Group 2; Census Tract 1014; Allegheny County; Pennsylvania,435,35.5,0,11,0,10,0,0,0,30,0,0,0,0,,,180,11,14,42,3,101400,2,435,51,36,,180,25,11.72413793,,0.138888889,420031014002
8377,G5030,208903717072648,420031920002,42,003,192000,2,2,Block Group 2,BG,S,246359,0,+40.4016214,-080.0253551,+40.4016214,-080.0253551,3228.38856,425281.5382,0.001696711,0.001696711,193,Block Group 2; Census Tract 1920; Allegheny County; Pennsylvania,418,45.6,0,0,56,0,0,13,0,24,0,0,48,0,,,185,0,21,42,3,192000,2,418,141,46,,185,21,33.73205742,,0.113513514,420031920002
9298,G5030,208903717072538,420039805001,42,003,980500,1,1,Block Group 1,BG,S,1611394,8798,+40.4343467,-079.9421623,+40.4327243,-079.9436647,7420.449226,2799582.65,5.58523E-06,5.58523E-06,1052,Block Group 1; Census Tract 9805; Allegheny County; Pennsylvania,9,-666666666,5,0,0,0,0,0,0,0,4,0,0,0,,,9,0,0,42,3,980500,1,9,9,-666666666,,9,0,100,,0,420039805001
10182,G5030,20890321506370,420034733001,42,003,473300,1,1,Block Group 1,BG,S,1093944,0,+40.3855327,-080.0272117,+40.3855327,-080.0272117,6895.313409,1887543.995,0.001093292,0.001093292,603,Block Group 1; Census Tract 4733; Allegheny County; Pennsylvania,1196,47.9,1,25,20,45,0,20,0,44,44,18,18,120,,,484,0,111,42,3,473300,1,1196,355,48,,484,111,29.68227425,,0.229338843,420034733001
10496,G5030,208903717072644,420030709004,42,003,070900,4,4,Block Group 4,BG,S,139675,0,+40.4525514,-079.9436227,+40.4525514,-079.9436227,1977.324668,241479.9059,0.01151244,0.01151244,49,Block Group 4; Census Tract 709; Allegheny County; Pennsylvania,1608,26.8,38,33,14,0,0,0,22,0,14,16,0,32,,,781,10,336,42,3,70900,4,1608,169,27,,781,346,10.50995025,,0.443021767,420030709004
10682,G5030,208903717072495,420039808001,42,003,980800,1,1,Block Group 1,BG,S,346129,164858,+40.4325979,-079.9655095,+40.4342391,-079.9687916,4836.155071,882909.4013,0,0,1055,Block Group 1; Census Tract 9808; Allegheny County; Pennsylvania,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,42,3,980800,1,0,0,-666666666,,0,0,,,,420039808001
10943,G5030,208903717072605,420035624001,42,003,562400,1,1,Block Group 1,BG,S,815567,0,+40.4077045,-080.0012002,+40.4077045,-080.0012002,6278.500669,1408139.649,0.000951485,0.000951485,985,Block Group 1; Census Tract 5624; Allegheny County; Pennsylvania,776,55.4,21,16,10,21,10,0,5,9,22,42,22,11,,,402,11,33,42,3,562400,1,776,189,55,,402,44,24.3556701,,0.109452736,420035624001
11011,G5030,20890321506018,420034731001,42,003,473100,1,1,Block Group 1,BG,S,609789,0,+40.3972055,-080.0506666,+40.3972055,-080.0506666,4940.600468,1052522.325,0.002286037,0.002286037,595,Block Group 1; Census Tract 4731; Allegheny County; Pennsylvania,1394,39.6,12,16,6,5,16,0,26,0,21,0,18,34,,,498,12,0,42,3,473100,1,1394,154,40,,498,12,11.04734577,,0.024096386,420034731001
11189,G5030,20890321514891,420034781004,42,003,478100,4,4,Block Group 4,BG,S,411335,0,+40.3757659,-079.9834446,+40.3757659,-079.9834446,5568.637125,709536.3463,0.003175028,0.003175028,684,Block Group 4; Census Tract 4781; Allegheny County; Pennsylvania,1306,34,0,15,25,6,0,0,14,0,31,23,9,10,,,636,25,67,42,3,478100,4,1306,133,34,,636,92,10.18376723,,0.144654088,420034781004
13728,G5030,208903717072639,420034782003,42,003,478200,3,3,Block Group 3,BG,S,478401,0,+40.3821604,-079.9724086,+40.3821604,-079.9724086,4131.461966,825375.464,0.004995809,0.004995809,687,Block Group 3; Census Tract 4782; Allegheny County; Pennsylvania,2390,35,33,64,28,23,0,0,26,0,69,35,0,24,,,1166,11,370,42,3,478200,3,2390,302,35,,1166,381,12.63598326,,0.326758148,420034782003
13807,G5030,20890321520898,420030703001,42,003,070300,1,1,Block Group 1,BG,S,100940,0,+40.4527240,-079.9334902,+40.4527240,-079.9334902,1688.759193,174511.9099,0.007083416,0.007083416,36,Block Group 1; Census Tract 703; Allegheny County; Pennsylvania,715,27.7,15,0,0,6,0,0,0,0,4,10,0,0,,,374,0,127,42,3,70300,1,715,35,28,,374,127,4.895104895,,0.339572193,420030703001
13808,G5030,20890321520859,420030703002,42,003,070300,2,2,Block Group 2,BG,S,113412,0,+40.4502300,-079.9325808,+40.4502300,-079.9325808,1810.994235,196063.1991,0.005290445,0.005290445,37,Block Group 2; Census Tract 703; Allegheny County; Pennsylvania,600,37.4,11,7,36,17,0,12,11,8,18,29,6,55,,,264,10,85,42,3,70300,2,600,210,37,,264,95,35,,0.359848485,420030703002
14023,G5030,2089015692404863,420035629011,42,003,562901,1,1,Block Group 1,BG,S,1448110,585395,+40.4113421,-079.9487083,+40.4080909,-079.9478036,12736.80644,3511392.509,0.000408809,0.000408809,997,Block Group 1; Census Tract 5629.01; Allegheny County; Pennsylvania,592,18.6,0,14,0,0,0,0,0,15,10,0,0,0,,,180,0,109,42,3,562901,1,592,39,19,,180,109,6.587837838,,0.605555556,420035629011
14024,G5030,2089015692404868,420035629012,42,003,562901,2,2,Block Group 2,BG,S,803514,0,+40.4176307,-079.9441160,+40.4176307,-079.9441160,6943.396064,1387731.736,0.001308005,0.001308005,998,Block Group 2; Census Tract 5629.01; Allegheny County; Pennsylvania,1051,35.6,28,25,38,31,0,0,22,24,0,5,14,0,,,443,25,0,42,3,562901,2,1051,187,36,,443,25,17.7925785,,0.056433409,420035629012
14025,G5030,2089015692404871,420031403005,42,003,140300,5,5,Block Group 5,BG,S,193283,0,+40.4407447,-079.9166495,+40.4407447,-079.9166495,2928.992084,334042.4476,0.004206267,0.004206267,120,Block Group 5; Census Tract 1403; Allegheny County; Pennsylvania,813,33.7,1,15,15,7,6,8,0,0,65,24,9,31,,,361,0,66,42,3,140300,5,813,181,34,,361,66,22.26322263,,0.182825485,420031403005
14028,G5030,2089015692404878,420031610001,42,003,161000,1,1,Block Group 1,BG,S,2646058,0,+40.4126030,-079.9694546,+40.4126030,-079.9694546,9772.644949,4569302.105,0.001209346,0.001209346,154,Block Group 1; Census Tract 1610; Allegheny County; Pennsylvania,3200,30.3,45,51,70,9,31,0,37,27,41,21,14,16,,,1146,12,168,42,3,161000,1,3200,362,30,,1146,180,11.3125,,0.157068063,420031610001
14030,G5030,2089015692404885,420031608002,42,003,160800,2,2,Block Group 2,BG,S,252860,0,+40.4192567,-079.9687814,+40.4192567,-079.9687814,3496.870652,436729.9747,0.003480187,0.003480187,150,Block Group 2; Census Tract 1608; Allegheny County; Pennsylvania,880,35.8,5,0,0,31,0,0,0,9,12,0,0,28,,,369,30,10,42,3,160800,2,880,85,36,,369,40,9.659090909,,0.108401084,420031608002
14031,G5030,2089015692404908,420035626002,42,003,562600,2,2,Block Group 2,BG,S,1010424,187348,+40.4473442,-080.0367147,+40.4475206,-080.0371080,6012.243519,2070473.419,0.001165847,0.001165847,992,Block Group 2; Census Tract 5626; Allegheny County; Pennsylvania,1178,42.2,0,21,21,10,0,0,0,44,38,26,0,0,,,723,0,189,42,3,562600,2,1178,160,42,,723,189,13.58234295,,0.261410788,420035626002
14033,G5030,2089015692404930,420035625002,42,003,562500,2,2,Block Group 2,BG,S,352300,0,+40.4534458,-080.0490181,+40.4523865,-080.0509090,5265.072393,609094.8926,0.002361624,0.002361624,989,Block Group 2; Census Tract 5625; Allegheny County; Pennsylvania,832,38.8,33,0,36,44,0,0,0,10,8,0,0,0,,,410,3,114,42,3,562500,2,832,131,39,,410,117,15.74519231,,0.285365854,420035625002
14037,G5030,2089015692404954,420031609003,42,003,160900,3,3,Block Group 3,BG,S,153200,0,+40.4267180,-079.9740239,+40.4267180,-079.9740239,2066.083753,264657.2163,0.00522846,0.00522846,153,Block Group 3; Census Tract 1609; Allegheny County; Pennsylvania,801,27.6,0,0,0,5,18,0,0,0,0,23,0,50,,,417,13,26,42,3,160900,3,801,96,28,,417,39,11.98501873,,0.09352518,420031609003
14038,G5030,2089015692404955,420031412001,42,003,141200,1,1,Block Group 1,BG,S,293866,0,+40.4321996,-079.8981593,+40.4297480,-079.8990713,6644.231305,507749.2238,3.40291E-05,3.40291E-05,130,Block Group 1; Census Tract 1412; Allegheny County; Pennsylvania,10,-666666666,10,0,0,0,0,0,0,0,0,0,0,0,,,10,10,0,42,3,141200,1,10,10,-666666666,,10,10,100,,1,420031412001
14046,G5030,2089015692404963,420032413003,42,003,241300,3,3,Block Group 3,BG,S,691840,0,+40.4684762,-079.9891644,+40.4724273,-079.9867715,8725.374717,1196658.835,0.001315333,0.001315333,206,Block Group 3; Census Tract 2413; Allegheny County; Pennsylvania,910,53.6,12,4,70,13,8,62,0,0,25,9,0,15,,,378,17,15,42,3,241300,3,910,218,54,,378,32,23.95604396,,0.084656085,420032413003
14415,G5030,208903717072649,420032614003,42,003,261400,3,3,Block Group 3,BG,S,222269,0,+40.4679547,-080.0114593,+40.4679547,-080.0114593,2976.07045,384450.6476,0.002263024,0.002263024,217,Block Group 3; Census Tract 2614; Allegheny County; Pennsylvania,503,56.8,0,0,25,0,0,0,12,14,30,16,0,25,,,298,23,59,42,3,261400,3,503,122,57,,298,82,24.25447316,,0.275167785,420032614003
