OBJECTID,ST,STATE,ST_ABBR,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE,Shape_Length,Shape_Area
75,42,Pennsylvania,PA,15106,ZCTA5 15106,9.964359411,19550,704,9850,442,9215,418,3295,486,327,112,1810,306,557,149,618,168,4375,442,3244,363,2816,395,373,128,126,135,3106,1142,834,205,313,125,94,59,945,233,63,25,16.9,2.4,2.9,1,19.6,3.2,3.6,1,3.2,0.9,22.4,2,16.6,1.7,14.4,2,4.1,1.4,0.7,0.7,15.9,5.8,8.5,2,3.2,1.3,1,0.6,10.3,2.4,0.3,0.1,0.4997,0.3361,0.4772,0.1993,0.3591,1.8714,0.2602,0.6442,0.2923,0.4657,0.5522,0.7226,2.677,0.6432,0.7711,0.7711,0.7711,0.8399,0.4521,0.6254,0.7941,0.5847,3.2962,0.8352,8.6157,0.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18604,1175,238,1325,414,292,178,369,216,17,24,0,18,1089,381,14,19,12.8,2.4,6.8,2.1,1.5,0.9,1.9,1.1,0.1,0.1,0,0.2,5.6,1.9,0.1,0.1,0.399337139,0.00273384
80,42,Pennsylvania,PA,15120,ZCTA5 15120,4.688048167,18136,531,9707,466,8377,419,4680,781,703,263,2259,350,727,274,1274,431,3962,466,3404,442,3470,495,565,199,153,115,5011,939,831,239,76,61,80,61,1733,406,102,11,25.9,4.2,7.6,2.6,27,4,5.5,2.1,7,2.3,21.8,2.6,18.8,2.3,19.2,2.8,6.8,2.4,0.9,0.7,27.6,5.1,8.5,2.4,0.8,0.6,0.9,0.7,20.7,4.4,0.6,0.1,0.7789,0.8153,0.8036,0.3236,0.7459,3.4673,0.8579,0.5996,0.4418,0.7685,0.8024,0.7667,3.379,0.9467,0.8836,0.8836,0.8836,0.8399,0.3191,0.5993,0.9312,0.6542,3.3437,0.8491,11.0736,0.9421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,18675,1726,393,3899,523,360,175,132,136,24,29,0,18,594,225,2,4,20.6,4.2,21.5,3,2,1,0.7,0.8,0.1,0.2,0,0.2,3.3,1.2,0,0.1,0.177152975,0.001357446
81,42,Pennsylvania,PA,15122,ZCTA5 15122,12.92983783,19220,487,9031,592,8184,567,3992,733,908,302,1841,342,809,253,634,262,3912,403,3833,657,3271,489,280,117,116,96,3217,959,965,238,187,85,94,86,796,234,207,9,21.1,3.8,9,3.1,22.5,3.9,5.7,1.8,3.3,1.4,20.4,2,19.9,3.3,17.2,2.5,3.4,1.4,0.6,0.5,16.7,5,10.6,2.5,2.1,0.9,1.2,1,9.7,2.6,1.1,0,0.6543,0.8769,0.6332,0.3363,0.3702,2.8709,0.6462,0.4964,0.5284,0.6619,0.4706,0.6873,2.8446,0.7519,0.7788,0.7788,0.7788,0.8798,0.4055,0.672,0.7791,0.7292,3.4656,0.8879,9.9599,0.8657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26267,1119,259,1824,523,339,299,376,305,23,40,0,18,655,307,0,18,13.7,2.7,9.5,2.7,1.8,1.6,2,1.6,0.1,0.2,0,0.2,3.4,1.6,0,0.2,0.512434728,0.003606933
89,42,Pennsylvania,PA,15136,ZCTA5 15136,10.748065,23055,1029,11326,603,10173,554,5382,805,910,258,2207,402,1007,249,1025,327,4346,550,5088,500,3311,444,1099,311,81,104,6013,1718,692,202,43,61,71,66,1827,335,158,25,23.6,3.4,8.2,2.4,21.7,3.8,6,1.6,4.5,1.4,18.9,2.2,22.1,1.9,14.4,2,10.8,3,0.4,0.5,26.1,7.4,6.1,1.8,0.4,0.5,0.7,0.6,18,3.2,0.7,0.1,0.7258,0.8447,0.5877,0.3589,0.5193,3.0364,0.7226,0.3944,0.6911,0.4657,0.9229,0.6172,3.0913,0.8535,0.8704,0.8704,0.8704,0.7878,0.2781,0.5455,0.9145,0.6713,3.1972,0.7963,10.1953,0.8858,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,2,24807,1255,276,4088,674,302,270,386,297,66,42,0,21,853,315,318,284,12.3,2.6,17.7,3.1,1.3,1.2,1.7,1.3,0.3,0.2,0,0.1,3.7,1.4,1.4,1.2,0.404309681,0.003055892
100,42,Pennsylvania,PA,15201,ZCTA5 15201,1.925148974,13017,799,7664,389,6813,409,2273,379,295,103,1545,234,564,204,489,164,2090,257,1149,206,1565,264,148,63,1,69,3330,1050,943,180,54,58,20,22,908,186,104,10,17.5,2.7,3.3,1.2,22.7,3.2,5.1,1.8,3.8,1.2,16.1,1.9,8.8,1.5,12.1,1.9,2.1,0.9,0,0.5,25.6,7.9,12.3,2.3,0.7,0.8,0.3,0.3,13.3,2.7,0.8,0.1,0.5269,0.3821,0.6382,0.2943,0.4315,2.273,0.4,0.2383,0.1059,0.3072,0.3213,0,0.9727,0.0372,0.8687,0.8687,0.8687,0.9064,0.313,0.4312,0.864,0.6845,3.1991,0.7974,7.3135,0.4423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,15932,793,181,2277,397,304,120,293,125,0,18,0,18,385,117,71,63,11.6,2.6,17.5,2.9,2.3,0.9,2.3,0.9,0,0.2,0,0.2,3,0.9,0.5,0.5,0.168021705,0.00060205
101,42,Pennsylvania,PA,15202,ZCTA5 15202,4.478452311,19790,545,10810,378,9757,350,2784,456,450,115,2673,370,573,163,1194,358,3442,386,3266,340,2953,387,402,137,84,90,3455,903,2529,384,5,7,8,20,1278,291,262,43,14.3,2.3,3.8,0.9,27.4,3.7,3.8,1.1,6.1,1.8,17.4,2,16.5,1.5,15,1.9,4.2,1.4,0.4,0.5,17.5,4.5,23.4,3.5,0,0.1,0.1,0.2,13.1,2.8,1.3,0.2,0.3922,0.4404,0.8119,0.2082,0.6878,2.5405,0.5064,0.3111,0.2879,0.5088,0.5671,0.6172,2.2921,0.4218,0.7893,0.7893,0.7893,0.9723,0,0.3923,0.8613,0.749,2.9749,0.7153,8.5968,0.6741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,12528,1133,310,2022,426,414,148,212,123,4,5,0,18,736,215,67,43,11.6,3.1,10.2,2.1,2.1,0.7,1.1,0.6,0,0.1,0,0.2,3.7,1.1,0.3,0.2,0.227470205,0.001346
102,42,Pennsylvania,PA,15203,ZCTA5 15203,1.483741723,10302,822,6867,387,5814,403,2764,609,188,93,1967,367,307,157,743,379,958,167,571,201,753,244,189,122,27,77,1850,1092,1264,224,10,11,57,56,880,222,25,12,26.8,5.5,2.6,1.3,33.8,5.9,4.3,2.2,7.2,3.5,9.3,1.7,5.5,1.8,7.3,2.4,3.2,2.1,0.3,0.8,18,10.5,18.4,3.1,0.1,0.2,1,1,15.1,3.8,0.2,0.1,0.7978,0.3039,0.9034,0.2385,0.7624,3.006,0.7047,0.0717,0.0756,0.0917,0.444,0.5775,1.2605,0.086,0.7954,0.7954,0.7954,0.9573,0.2288,0.6254,0.8868,0.545,3.2433,0.8119,8.3052,0.6162,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,16142,450,169,1074,514,268,113,196,124,0,18,0,18,311,162,1,3,7.7,2.9,10.4,4.6,2.6,1.1,1.9,1.2,0,0.3,0,0.3,3,1.6,0,0.1,0.157474441,0.000474085
103,42,Pennsylvania,PA,15204,ZCTA5 15204,1.880278902,8276,908,3991,299,3461,334,2232,614,414,205,891,228,618,225,549,182,1162,178,1490,453,1378,268,234,139,74,83,4546,1144,274,142,0,16,51,52,571,184,4,8,27,6.8,9.5,4.2,25.7,6.1,10.1,3.9,6.6,2.1,14,2.2,18,4.5,16.7,3.1,6.8,4,1,1.1,54.9,12.4,6.9,3.5,0,0.7,1.4,1.5,16.5,5.2,0,0.1,0.8033,0.8918,0.7597,0.6731,0.7221,3.85,0.9376,0.1583,0.3828,0.6177,0.8024,0.7871,2.7483,0.6948,0.9641,0.9641,0.9641,0.8039,0,0.7125,0.9057,0,2.4221,0.556,9.9845,0.8696,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,4052,413,176,3618,725,136,94,201,119,2,4,0,16,568,281,21,34,11.9,4.8,43.7,7.2,1.6,1.2,2.4,1.5,0,0.1,0,0.4,6.9,3.4,0.3,0.4,0.119104748,0.000543606
104,42,Pennsylvania,PA,15205,ZCTA5 15205,11.68138821,23946,1048,11975,446,11200,437,4918,854,519,174,2829,401,816,277,1420,419,3989,404,4583,602,2872,382,573,138,244,130,5238,1435,2047,317,213,100,122,65,1211,227,134,12,20.6,3.5,3.7,1.2,25.3,3.4,4.6,1.5,5.9,1.7,16.7,1.7,19.1,2.1,12,1.5,5.1,1.2,1.1,0.6,21.9,5.9,17.1,2.6,1.8,0.8,1.1,0.6,10.8,1.9,0.6,0,0.6366,0.4332,0.7453,0.2601,0.6713,2.7465,0.5928,0.2686,0.465,0.2994,0.6704,0.8009,2.5043,0.5427,0.834,0.834,0.834,0.9501,0.39,0.6459,0.8119,0.6542,3.4521,0.8818,9.5369,0.8145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,37982,1153,265,2617,634,648,280,1088,461,0,21,6,10,845,285,34,32,10.3,2.4,10.9,2.6,2.7,1.1,4.5,1.9,0,0.1,0,0.1,3.5,1.2,0.1,0.1,0.617477471,0.003213579
105,42,Pennsylvania,PA,15206,ZCTA5 15206,4.763855434,29316,1452,16808,665,14601,600,6700,674,740,220,4845,538,971,186,1199,287,4353,323,4504,470,3929,490,968,181,302,140,13461,1829,4638,477,49,34,341,173,3193,421,952,23,23.5,2,4.2,1.2,33.2,3.4,4.3,0.8,4.2,1,14.8,1.3,15.4,1.3,13.6,1.7,6.6,1.2,1.1,0.5,45.9,5.8,27.6,2.6,0.3,0.2,2.4,1.2,21.9,2.7,3.2,0.2,0.7241,0.4958,0.894,0.2385,0.4845,2.8369,0.634,0.1864,0.2471,0.405,0.7919,0.8009,2.4313,0.4961,0.9482,0.9482,0.9482,0.9795,0.2648,0.8457,0.9384,0.8693,3.8977,0.9845,10.1141,0.8802,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,3,27665,1805,287,8745,752,1309,577,2030,419,30,27,1,2,1294,375,52,39,12.4,1.9,29.8,2.5,4.5,1.9,6.9,1.4,0.1,0.1,0,0.1,4.4,1.2,0.2,0.1,0.212800833,0.001397408
