OBJECTID,FID,AREA,PERIMETER,WOODLAND_,WOODLAND_I,NATURE_COD,Shape_Leng,Acres,Shape_Length,Shape_Area
279,279,2489891.368,27085.1098,6060,0,0,27085.10961,57.16026848,0.085995429,2.45731E-05
395,395,801269.0671,5942.419245,6079,1269,310,5942.419119,18.39468001,0.01859977,7.90808E-06
452,452,1125876.369,9751.980248,8481,1427,310,9751.980347,25.84666841,0.031991217,1.11026E-05
557,557,53817.55111,1170.293441,6044,1262,310,1170.293391,1.235485845,0.003471035,5.3117E-07
567,567,57735.36133,1308.24366,8497,1853,310,1308.243666,1.325426772,0.004188151,5.6937E-07
605,605,39590.17383,1770.409959,8506,1852,310,1770.409864,0.908868815,0.006229395,3.90429E-07
624,624,9881.307174,527.9117599,8511,1374,310,527.9115943,0.226844457,0.001783879,9.74455E-08
662,662,636282.3262,4639.703601,8520,1421,310,4639.703564,14.60709045,0.014518623,6.27455E-06
672,672,1610818.1,14287.85228,8522,1366,310,14287.85221,36.97944285,0.046875376,1.58847E-05
693,693,36470.42969,1148.346325,8526,1854,310,1148.346291,0.83724942,0.003896023,3.59661E-07
697,697,4904.693567,415.6356991,8528,1765,310,415.6356087,0.112596691,0.001454738,4.83678E-08
708,708,52350.22086,2279.264011,9283,1382,310,2279.264041,1.201800293,0.006655821,5.16121E-07
713,713,23585.31814,910.6969311,9263,1798,310,910.6970214,0.541446465,0.0030933,2.32532E-07
717,717,108831.0535,3192.757867,9264,1379,310,3192.757969,2.498427029,0.010893398,1.07299E-06
719,719,23423.1958,915.5640674,9286,729,310,915.5640233,0.537724629,0.002746646,2.30928E-07
725,725,36869.75608,2201.155406,9267,727,310,2201.155421,0.84641642,0.006220291,3.63495E-07
737,737,493130.7354,4641.915782,9291,1484,310,4641.915751,11.32076984,0.015509092,4.86184E-06
738,738,90980.39184,1631.077534,9270,1791,310,1631.077499,2.088630611,0.005325849,8.96991E-07
742,742,14116.94018,543.732502,9271,730,310,543.7326194,0.324081647,0.001827554,1.3918E-07
756,756,154072.8695,2776.124584,9299,753,310,2776.124565,3.537040172,0.008112765,1.51896E-06
757,757,23576.37863,1020.940651,9300,1383,310,1020.940569,0.541241445,0.003077819,2.32442E-07
777,777,153896.6098,3061.502634,9309,1813,310,3061.502802,3.532994386,0.010340958,1.51726E-06
798,798,35761.95473,1720.643503,10825,10,310,1720.643522,0.82098501,0.005568645,3.5236E-07
810,810,4498797.735,27298.1277,10831,2421,310,27298.12776,103.2785969,0.085709426,4.43236E-05
860,860,18821838.05,64157.22107,10852,7,310,64157.2208,432.0916766,0.203511058,0.000185416
1301,1301,836256.5112,7038.493454,6909,1579,310,7038.493518,19.19788525,0.021860433,8.25095E-06
1360,1360,142926.8035,4572.791956,6916,1408,310,4572.791986,3.281161261,0.013529648,1.41023E-06
1421,1421,28537.55061,948.5145726,9209,1801,310,948.5145772,0.655134441,0.003226634,2.81362E-07
1455,1455,48782.04,1941.258247,9212,1799,310,1941.258372,1.119886293,0.006007731,4.80955E-07
1477,1477,634436.6852,7516.662745,9214,1372,310,7516.662784,14.56472006,0.023630831,6.25485E-06
1503,1503,111727.8753,2649.317913,9218,1468,310,2649.317808,2.564929596,0.008589452,1.10158E-06
1518,1518,142000.298,5414.802762,9220,1168,310,5414.802708,3.25989145,0.016672687,1.39998E-06
1555,1555,19074.8268,583.6602608,9223,1811,310,583.6602038,0.43789946,0.001918242,1.88065E-07
1608,1608,557168.7435,4443.476122,9229,1467,310,4443.476038,12.79088507,0.014319648,5.49334E-06
1643,1643,19509.13916,1073.867467,9232,1169,310,1073.867523,0.447870027,0.003788188,1.92342E-07
1654,1654,17741.17402,587.7444108,9234,1366,310,587.7444585,0.407282918,0.002004523,1.74919E-07
1670,1670,25901.10698,1624.684186,9236,1810,310,1624.684225,0.594609675,0.005764373,2.55366E-07
1674,1674,29181.81234,1248.527109,9237,0,0,1248.527181,0.669924761,0.00409839,2.87713E-07
1725,1725,19756.46285,755.3313814,9245,1378,310,755.3314153,0.453547802,0.002623399,1.94787E-07
1733,1733,969929.2411,8632.192314,9246,1794,310,8632.192095,22.26660014,0.027794288,9.56255E-06
1745,1745,30912.98794,2139.858347,9248,1380,310,2139.858389,0.709667543,0.006747896,3.0478E-07
1749,1749,416262.812,8024.201908,9249,1325,310,8024.20196,9.556117496,0.027710729,4.10388E-06
1805,1805,536454.5983,4609.937829,6867,1401,310,4609.93764,12.3153522,0.015164584,5.29327E-06
1814,1814,15981.99609,836.6837678,6868,1641,310,836.6836554,0.366897634,0.002859959,1.57693E-07
1815,1815,118716.8148,1994.712493,10093,1559,310,1994.712519,2.725373885,0.006221568,1.17008E-06
1825,1825,215185.1836,2443.660766,6870,1407,310,2443.660793,4.939991908,0.007487516,2.12326E-06
1852,1852,2279561.594,14261.13701,6875,1569,310,14261.13702,52.33174363,0.044703078,2.24917E-05
1864,1864,48956.07616,1058.860824,6877,6083,0,1058.860851,1.123881396,0.003150702,4.83061E-07
1927,1927,532607.8449,6815.669595,10113,1757,310,6815.669577,12.22704271,0.021505157,5.24924E-06
2236,2236,58575.54516,2212.764451,10122,0,0,2212.764401,1.344715076,0.006478209,5.77313E-07
2248,2248,27074.02384,1018.707016,10640,1656,310,1018.707014,0.621536473,0.002902288,2.66777E-07
2257,2257,10317801.48,51287.23775,10642,1,310,51287.23767,236.8650754,0.16300725,0.000101656
2273,2273,72204.96178,2208.328441,10124,853,310,2208.32844,1.657604454,0.00652298,7.11639E-07
2318,2318,33804.67907,2124.736384,10129,1760,310,2124.736289,0.776051738,0.006225472,3.33172E-07
2339,2339,1043899.211,11131.99068,10651,1018,310,11131.99074,23.96472478,0.038197244,1.0286E-05
2397,2397,34508.78323,1338.629535,10657,1660,310,1338.62942,0.792215669,0.004672895,3.40037E-07
2419,2419,136093.0713,2314.129223,10659,987,310,2314.12924,3.124279645,0.007578139,1.34099E-06
2438,2438,63579.94694,1660.439218,10141,860,310,1660.439212,1.459600391,0.005422975,6.26632E-07
2460,2460,75277.72515,2470.172202,10351,1595,310,2470.172442,1.728145402,0.00762181,7.41856E-07
2680,2680,191900.577,2352.635203,10377,1260,310,2352.635093,4.405448563,0.007496271,1.89117E-06
2687,2687,493382.0181,4281.897224,10378,1775,310,4281.897252,11.32653826,0.012861483,4.8621E-06
2694,2694,1658820.579,8635.47246,10379,912,310,8635.472469,38.08143339,0.028152131,1.6347E-05
2729,2729,46423.48958,2622.24685,10385,1780,310,2622.246974,1.065741095,0.007607498,4.57487E-07
2786,2786,42408.60436,1023.014626,10395,0,0,1023.014706,0.973571502,0.003366701,4.17926E-07
2814,2814,38455.28957,1347.21962,10399,920,310,1347.219578,0.882815383,0.004640673,3.78968E-07
2851,2851,27.906361,29.95588915,10612,0,0,29.9559739,0.000640653,8.7558E-05,2.74986E-10
2962,2962,347243.5066,5283.416596,10629,1659,310,5283.416625,7.971645867,0.017969188,3.42162E-06
6075,6075,167164.153,1676.050112,6434,947,310,1676.05007,3.837576243,0.005245345,1.64965E-06
6087,6087,3993504.891,29516.84371,6437,1159,310,29516.84407,91.67862492,0.091248544,3.94063E-05
6113,6113,115910,3167.344279,6443,955,310,3167.344119,2.66093807,0.010744383,1.14385E-06
6115,6115,646828.2388,9475.761335,5727,73,310,9475.761377,14.84919311,0.030217785,6.38458E-06
6116,6116,641086.6307,5935.146146,5892,1139,310,5935.146089,14.71738294,0.018789082,6.32758E-06
6141,6141,291982.0321,3706.907957,6450,933,310,3706.907875,6.70301248,0.011308821,2.88133E-06
6147,6147,46476,1028.435968,6452,954,310,1028.435903,1.0669464,0.003579651,4.58646E-07
6201,6201,213243.6224,6029.901133,6466,0,0,6029.901013,4.895419717,0.019463904,2.10435E-06
6212,6212,46684.92238,777.378765,6469,932,310,777.378746,1.07174258,0.002516505,4.60702E-07
6221,6221,599782.0436,6985.858343,5915,1261,310,6985.858173,13.76915617,0.022412194,5.92002E-06
6239,6239,256648.7633,2417.925421,5863,1271,310,2417.925519,5.891868201,0.00803494,2.53325E-06
6245,6245,3224664.065,26458.22415,6477,1388,310,26458.22397,74.02839487,0.083130217,3.18196E-05
6278,6278,925116.2477,11392.78726,6484,943,310,11392.78695,21.23783233,0.035492099,9.12884E-06
6284,6284,993114.9652,10452.56961,6486,934,310,10452.56953,22.79887438,0.033789441,9.79994E-06
6287,6287,23150.87708,772.544046,6487,963,310,772.5440371,0.531473134,0.002473622,2.2846E-07
6335,6335,119466.7136,3224.014952,5984,1140,310,3224.0149,2.742588913,0.009624656,1.17913E-06
6353,6353,140116.5722,2964.663457,5988,0,0,2964.663528,3.216646422,0.009700895,1.38295E-06
6366,6366,729807.8654,8546.329705,6504,1392,310,8546.329744,16.75414989,0.024825343,7.20169E-06
6385,6385,400164.2031,5556.049055,6508,1673,310,5556.048932,9.18654229,0.01791238,3.94874E-06
6396,6396,877982.4531,9266.686353,6235,937,310,9266.686309,20.15578355,0.028301333,8.66462E-06
6507,6507,112603.1479,6680.698112,6346,1396,310,6680.698019,2.585022267,0.023693983,1.11128E-06
6513,6513,19534.58594,881.7852807,6248,1678,310,881.7852102,0.448454417,0.002778689,1.92788E-07
6518,6518,69108.50977,2200.729332,6524,1687,310,2200.72925,1.586519597,0.0069217,6.81962E-07
6520,6520,555541.7266,5083.054329,6347,0,0,5083.054205,12.75353389,0.015925176,5.48236E-06
6552,6552,3356120.452,26615.27089,6529,945,310,26615.27127,77.04623343,0.08572031,3.31158E-05
