OBJECTID,pointid,grid_code
1,1,36.55847168
2,2,36.62683105
3,3,38.3085022
4,4,38.94424438
5,5,39.48770142
6,6,39.96279907
7,7,40.30462646
8,8,40.43109131
9,9,40.14395142
10,10,38.64004517
11,11,36.8079834
12,12,33.90609741
13,13,33.19857788
14,14,32.79864502
15,15,32.1423645
16,16,31.35281372
17,17,30.78543091
18,18,30.0642395
19,19,29.23025513
20,20,27.64083862
21,21,26.22921753
22,22,25.71310425
23,23,25.16964722
24,24,24.58514404
25,25,24.35272217
26,26,24.43817139
27,27,24.53387451
28,28,24.62615967
29,29,24.68768311
30,30,24.72528076
31,31,24.76287842
32,32,24.79705811
33,33,24.77313232
34,34,24.74578857
35,35,24.73553467
36,36,24.74920654
37,37,24.79364014
38,38,24.85858154
39,39,24.9508667
40,40,25.18331909
41,41,25.29953003
42,42,25.43966675
43,43,25.63790894
44,44,25.99679565
45,45,26.31466675
46,46,26.8888855
47,47,27.64767456
48,48,29.70193481
49,49,30.51541138
50,50,31.40066528
51,51,32.1663208
52,52,32.95587158
53,53,33.61898804
54,54,34.24105835
55,55,34.75033569
56,56,35.3074646
57,57,35.77572632
58,58,36.39099121
59,59,36.93786621
60,60,37.51895142
61,61,37.63516235
62,62,37.35488892
63,63,37.28994751
64,64,37.16687012
65,65,36.98571777
66,66,36.78405762
67,67,36.54821777
68,68,36.77722168
69,69,36.83190918
70,70,37.05407715
71,71,37.20788574
72,72,37.68301392
73,73,38.1991272
74,74,38.51699829
75,75,38.70498657
76,76,38.6366272
77,77,38.5375061
78,78,37.90518188
79,79,36.88659668
80,80,35.81332397
81,81,34.93148804
82,82,33.69760132
83,83,33.19515991
84,84,32.94561768
85,85,33.36605835
86,86,33.60189819
87,87,33.80014038
88,88,33.38998413
89,89,33.34213257
90,90,33.25326538
91,91,33.22592163
92,92,33.48910522
93,93,34.31625366
94,94,35.23910522
95,95,35.63900757
96,96,36.03549194
97,97,36.04232788
98,98,35.97738647
99,99,35.59799194
100,100,35.45785522
101,101,35.43734741
102,102,35.7996521
103,103,35.95687866
104,104,36.05258179
105,105,36.11752319
106,106,36.21322632
107,107,36.47302246
108,108,36.70202637
109,109,36.5447998
110,110,35.23910522
111,111,34.34701538
112,112,33.87191772
113,113,34.13851929
114,114,33.90267944
115,115,33.75570679
116,116,33.71469116
117,117,33.97445679
118,118,34.30258179
119,119,34.35043335
120,120,34.3230896
121,121,34.24105835
122,122,34.05990601
123,123,33.74203491
124,124,33.2840271
125,125,32.30645752
126,126,31.7048645
127,127,30.8196106
128,128,29.52420044
129,129,28.64575195
130,130,28.66967773
131,131,29.36013794
132,132,30.26589966
133,133,30.55984497
134,134,30.19070435
135,135,29.85916138
136,136,29.82839966
137,137,30.0539856
138,138,30.37185669
139,139,30.78543091
140,140,31.4758606
141,141,31.78005981
142,142,32.087677
143,143,32.4944458
144,144,31.96463013
145,145,30.97341919
146,146,30.37185669
147,147,30.2180481
148,148,29.94119263
149,149,29.7361145
150,150,29.51394653
151,151,29.32937622
152,152,29.48318481
153,153,30.67947388
154,154,31.2673645
155,155,32.08084106
156,156,32.60040283
157,157,32.75421143
158,158,31.86550903
159,159,31.40408325
160,160,30.99050903
161,161,30.1633606
162,162,29.45584106
163,163,28.79956055
164,164,28.5534668
165,165,28.65942383
166,166,28.86108398
167,167,30.00271606
168,168,30.02322388
169,169,30.09841919
170,170,29.14480591
171,171,29.39431763
172,172,29.68826294
173,173,31.18191528
174,174,31.55447388
175,175,31.95779419
176,176,32.43292236
177,177,32.85675049
178,178,33.18148804
179,179,33.20541382
180,180,32.99005127
181,181,31.5954895
182,182,30.92556763
183,183,30.21121216
184,184,29.57546997
185,185,29.13113403
186,186,28.87475586
187,187,29.23025513
188,188,29.41140747
189,189,30.23513794
190,190,31.72537231
191,191,31.98855591
192,192,31.85183716
193,193,31.71853638
194,194,31.64334106
195,195,31.79373169
196,196,32.08084106
197,197,32.49786377
198,198,34.07015991
199,199,34.65805054
200,200,35.28695679
201,201,36.17221069
202,202,37.11560059
203,203,39.2381897
204,204,40.76605225
205,205,41.00872803
206,206,40.02432251
207,207,38.60928345
208,208,36.96179199
209,209,35.56381226
210,210,34.08041382
211,211,32.81231689
212,212,31.52713013
213,213,32.45343018
214,214,34.14535522
215,215,34.57260132
216,216,33.88217163
217,217,32.57989502
218,218,30.79226685
219,219,30.59744263
220,220,30.7102356
221,221,30.53250122
222,222,30.5017395
