OBJECTID,pointid,grid_code
1,1,42.47164917
2,2,42.35202026
3,3,43.69186401
4,4,44.01657104
5,5,43.85934448
6,6,43.46286011
7,7,42.87155151
8,8,42.14694214
9,9,41.43942261
10,10,40.59515381
11,11,39.84658813
12,12,37.34121704
13,13,36.63024902
14,14,36.32946777
15,15,35.6902771
16,16,33.62582397
17,17,32.81573486
18,18,31.90652466
19,19,31.26052856
20,20,30.69656372
21,21,30.25222778
22,22,29.77713013
23,23,29.32937622
24,24,28.9465332
25,25,28.5534668
26,26,28.1809082
27,27,27.49386597
28,28,26.5607605
29,29,25.97970581
30,30,24.52362061
31,31,22.94448853
32,32,20.95864868
33,33,19.54013062
34,34,18.35751343
35,35,17.33554077
36,36,16.61090088
37,37,16.19732666
38,38,15.85211182
39,39,15.60940552
40,40,14.70706177
41,41,14.66262817
42,42,14.61819458
43,43,14.48147583
44,44,14.21487427
45,45,14.61819458
46,46,14.35159302
47,47,14.13626099
48,48,14.09524536
49,49,13.9927063
50,50,13.93118286
51,51,13.93118286
52,52,13.93118286
53,53,13.89016724
54,54,13.84915161
55,55,13.94485474
56,56,14.08840942
57,57,14.18411255
58,58,14.38235474
59,59,14.59085083
60,60,14.89505005
61,61,15.04885864
62,62,14.9223938
63,63,15.00100708
64,64,15.21633911
65,65,15.67092896
66,66,16.18365479
67,67,16.5322876
68,68,16.88778687
69,69,16.79205322
70,70,16.57672119
71,71,16.16998291
72,72,15.79397583
73,73,15.39749146
74,74,15.04202271
75,75,14.79251099
76,76,14.52249146
77,77,14.45413208
78,78,14.28665161
79,79,14.11917114
80,80,13.96194458
81,81,13.82522583
82,82,13.31594849
83,83,13.20315552
84,84,13.06985474
85,85,13.2270813
86,86,13.10061646
87,87,13.00491333
88,88,12.64599609
89,89,12.7109375
90,90,12.96389771
91,91,13.18264771
92,92,13.28860474
93,93,13.38772583
94,94,13.52102661
95,95,13.59622192
96,96,13.83889771
97,97,13.81838989
98,98,13.79788208
99,99,13.70559692
100,100,13.87307739
101,101,14.1567688
102,102,14.68655396
103,103,15.14456177
104,104,15.75296021
105,105,16.55621338
106,106,17.45516968
107,107,18.60702515
108,108,19.82723999
109,109,21.09194946
110,110,22.20962524
111,111,24.04852295
112,112,25.99679565
113,113,28.66967773
114,114,30.91531372
115,115,32.97296143
116,116,34.78793335
117,117,36.35339355
118,118,37.83340454
119,119,38.96817017
120,120,39.70645142
121,121,39.87051392
122,122,39.70986938
123,123,39.36807251
124,124,38.93057251
125,125,37.99746704
126,126,37.47451782
127,127,36.87634277
128,128,35.86459351
129,129,34.98959351
130,130,34.4324646
131,131,35.06820679
132,132,36.45935059
133,133,37.35147095
134,134,37.22839355
135,135,36.48669434
136,136,35.9090271
137,137,36.05941772
138,138,36.82849121
139,139,37.90859985
140,140,38.94424438
141,141,39.35440063
142,142,39.41592407
143,143,39.39541626
144,144,38.82119751
145,145,37.40957642
146,146,35.41000366
147,147,33.78305054
148,148,33.25668335
149,149,33.18490601
150,150,33.52328491
151,151,34.34359741
152,152,35.59115601
153,153,37.79580688
154,154,39.06045532
155,155,39.92861938
156,156,40.43450928
157,157,40.66351318
158,158,39.76113892
159,159,39.31680298
160,160,38.82461548
161,161,38.01113892
162,162,37.32754517
163,163,36.53796387
164,164,35.95004272
165,165,35.70736694
166,166,35.95687866
167,167,37.52578735
168,168,37.91885376
169,169,37.94961548
170,170,36.84558105
171,171,36.83874512
172,172,36.89343262
173,173,38.11026001
174,174,38.24697876
175,175,38.35977173
176,176,38.73916626
177,177,39.20742798
178,178,39.52529907
179,179,39.64151001
180,180,39.22109985
181,181,37.56680298
182,182,36.82507324
183,183,36.07650757
184,184,35.42367554
185,185,35.02035522
186,186,35.29379272
187,187,36.11068726
188,188,36.50378418
189,189,36.94812012
190,190,38.01113892
191,191,38.59561157
192,192,39.00918579
193,193,38.99209595
194,194,38.91690063
195,195,38.9647522
196,196,39.15957642
197,197,39.48086548
198,198,40.82757568
199,199,41.09759521
200,200,40.8480835
201,201,40.07559204
202,202,38.95791626
203,203,38.21621704
204,204,37.9256897
205,205,38.53408813
206,206,38.37002563
207,207,36.74987793
208,208,34.71615601
209,209,32.67901611
210,210,30.41629028
211,211,28.15698242
212,212,25.54904175
213,213,23.51870728
214,214,22.20278931
215,215,21.91567993
216,216,22.96157837
217,217,24.36297607
218,218,25.89083862
219,219,27.86984253
220,220,29.60281372
221,221,30.84353638
222,222,31.84500122
223,223,33.02764893
224,224,33.58822632
225,225,34.14877319
226,226,35.18099976
227,227,35.76889038
228,228,36.38757324
229,229,37.09509277
230,230,37.80264282
231,231,38.21621704
232,232,37.62490845
233,233,36.93444824
234,234,36.35339355
235,235,35.78256226
236,236,35.25961304
237,237,34.74349976
238,238,33.97445679
239,239,33.69418335
240,240,33.32504272
241,241,32.33380127
242,242,30.56326294
243,243,27.45968628
244,244,25.05343628
245,245,22.89663696
246,246,20.84924316
247,247,19.61532593
248,248,18.8633728
249,249,18.4805603
250,250,18.41903687
251,251,18.57626343
252,252,19.44100952
253,253,20.33996582
254,254,21.21841431
255,255,22.17202759
256,256,22.50357056
257,257,22.23355103
258,258,21.69351196
259,259,20.60998535
260,260,19.28720093
261,261,17.6602478
262,262,16.378479
263,263,15.54446411
264,264,14.90530396
265,265,14.45755005
266,266,14.19094849
267,267,14.14993286
268,268,14.07131958
269,269,13.94827271
270,270,13.70559692
271,271,13.43899536
272,272,13.29202271
273,273,13.18606567
274,274,13.26126099
275,275,13.41848755
276,276,13.58596802
277,277,13.70559692
278,278,13.81155396
279,279,13.89016724
280,280,13.86282349
281,281,13.91409302
282,282,13.98928833
283,283,14.14309692
284,284,14.06106567
285,285,13.81155396
286,286,13.70217896
287,287,13.69534302
288,288,13.87649536
289,289,14.19436646
290,290,14.54641724
291,291,14.98049927
292,292,15.69827271
293,293,16.82281494
294,294,18.44638062
295,295,20.52111816
296,296,22.98208618
297,297,25.03292847
298,298,27.03244019
299,299,28.70727539
300,300,30.28640747
301,301,30.76150513
302,302,30.69998169
303,303,30.58035278
304,304,30.45730591
305,305,30.59402466
306,306,30.75808716
307,307,30.87088013
308,308,30.55300903
309,309,30.9392395
310,310,31.5954895
311,311,32.90460205
312,312,33.93344116
313,313,35.60140991
314,314,36.96179199
315,315,37.40957642
316,316,37.30703735
317,317,37.50186157
318,318,37.50186157
319,319,37.49160767
320,320,37.42666626
321,321,37.24209595
322,322,36.59265137
323,323,35.56381226
324,324,34.20687866
325,325,33.58480835
326,326,33.82406616
327,327,34.09408569
328,328,34.42904663
329,329,34.72299194
330,330,34.94174194
331,331,35.18441772
332,332,35.04086304
333,333,34.59310913
334,334,33.77963257
335,335,33.02423096
336,336,31.78005981
337,337,31.98513794
338,338,32.77130127
339,339,33.45834351
340,340,33.58139038
341,341,33.08575439
342,342,33.17123413
343,343,31.92703247
344,344,29.97195435
345,345,27.93478394
346,346,26.24972534
347,347,24.96112061
348,348,23.61782837
349,349,22.15835571
350,350,20.96206665
351,351,21.29360962
352,352,21.98745728
353,353,22.38735962
354,354,21.83023071
355,355,21.31411743
356,356,20.12121582
357,357,19.52987671
358,358,18.66854858
359,359,17.82089233
360,360,16.82965088
361,361,15.96490479
362,362,15.26419067
363,363,14.69338989
364,364,14.31741333
365,365,14.03372192
366,366,13.75003052
367,367,13.55178833
368,368,13.41165161
369,369,13.30569458
370,370,13.44241333
371,371,13.37405396
372,372,13.32962036
373,373,13.49368286
374,374,13.54495239
375,375,13.90725708
376,376,14.77542114
377,377,15.77005005
378,378,16.64508057
379,379,17.09286499
380,380,17.94052124
381,381,19.47518921
382,382,21.19790649
383,383,23.18716431
384,384,25.47042847
385,385,27.51437378
386,386,30.06765747
387,387,32.66192627
388,388,34.01547241
389,389,33.82748413
390,390,33.14044189
391,391,32.68927002
392,392,32.88067627
393,393,33.27377319
394,394,33.93002319
395,395,34.46664429
396,396,33.90267944
397,397,32.52520752
398,398,31.6946106
399,399,31.95779419
400,400,32.46026611
401,401,33.01397705
402,402,33.34213257
403,403,33.48910522
404,404,33.51644897
405,405,33.46176147
406,406,33.35922241
407,407,33.50619507
408,408,33.67709351
409,409,34.03939819
410,410,34.75033569
411,411,35.51254272
412,412,36.19271851
413,413,36.5892334
414,414,36.82849121
415,415,37.01989746
416,416,37.00280762
417,417,37.38565063
418,418,37.90518188
419,419,38.48623657
420,420,39.01260376
421,421,39.27578735
422,422,39.01260376
423,423,39.0194397
424,424,40.40716553
425,425,41.88717651
426,426,43.6166687
427,427,44.75146484
428,428,45.71878052
429,429,45.91360474
430,430,45.27099609
431,431,43.0697937
432,432,40.20205688
433,433,37.48477173
434,434,35.34164429
435,435,33.7762146
436,436,32.71661377
437,437,32.66876221
438,438,32.90460205
439,439,33.80355835
440,440,34.75717163
441,441,35.41000366
442,442,36.33630371
443,443,37.18054199
444,444,38.05557251
445,445,38.19229126
446,446,37.75137329
447,447,37.13269043
448,448,36.52770996
449,449,35.49545288
450,450,34.57260132
451,451,34.10775757
452,452,33.70101929
453,453,34.11801147
454,454,34.72640991
455,455,35.56039429
456,456,35.94662476
457,457,36.23376465
458,458,35.82015991
459,459,35.64584351
460,460,35.35189819
461,461,34.78793335
462,462,33.91293335
463,463,33.23959351
464,464,32.68585205
465,465,32.07058716
466,466,31.46218872
467,467,30.52908325
468,468,29.77371216
469,469,29.27468872
470,470,28.93286133
471,471,28.48510742
472,472,27.91769409
473,473,27.23751831
474,474,26.43429565
475,475,25.61740112
476,476,25.04318237
477,477,25.11495972
478,478,25.34738159
479,479,25.73703003
480,480,26.48556519
481,481,27.67501831
482,482,28.6184082
483,483,27.80148315
484,484,26.04464722
485,485,24.2399292
486,486,22.61636353
487,487,21.15005493
488,488,19.75204468
489,489,18.4156189
490,490,17.47909546
491,491,16.92196655
492,492,16.40582275
493,493,16.0947876
494,494,15.62649536
495,495,15.44876099
496,496,14.96340942
497,497,14.06790161
498,498,13.19973755
499,499,12.34521484
500,500,11.91796875
501,501,11.44967651
502,502,11.02926636
503,503,10.78659058
504,504,10.7729187
505,505,10.87203979
506,506,10.92330933
507,507,10.98825073
508,508,11.01217651
509,509,10.95748901
510,510,10.9369812
511,511,10.93356323
512,512,11.13180542
513,513,11.51119995
514,514,11.90771484
515,515,12.48193359
516,516,13.21682739
517,517,13.78079224
518,518,14.07473755
519,519,14.19778442
520,520,14.27639771
521,521,14.57717896
522,522,14.88479614
523,523,15.35647583
524,524,16.02984619
525,525,16.73394775
526,526,17.19540405
527,527,17.4312439
528,528,17.31161499
529,529,16.93563843
530,530,16.66217041
531,531,16.16998291
532,532,15.56155396
533,533,14.90188599
534,534,14.12600708
535,535,14.26272583
536,536,13.83547974
537,537,13.21340942
538,538,13.22024536
539,539,13.29202271
540,540,13.32278442
541,541,13.37063599
542,542,13.39797974
543,543,13.54495239
544,544,13.86282349
545,545,14.42337036
546,546,15.44534302
547,547,16.95272827
548,548,18.33016968
549,549,20.50061035
550,550,22.93081665
551,551,25.27560425
552,552,27.4460144
553,553,29.54812622
554,554,31.46218872
555,555,33.16439819
556,556,34.58969116
557,557,35.42025757
558,558,35.82015991
559,559,35.92269897
560,560,35.76547241
561,561,35.38949585
562,562,34.86312866
563,563,34.45639038
564,564,34.50765991
565,565,34.89389038
566,566,34.79476929
567,567,33.8855896
568,568,31.63650513
569,569,28.90893555
570,570,26.60519409
571,571,24.69793701
572,572,22.78384399
573,573,21.10220337
574,574,19.73495483
575,575,19.05477905
576,576,19.00350952
577,577,19.62216187
578,578,20.76379395
579,579,21.8644104
580,580,22.81118774
581,581,23.60415649
582,582,24.38006592
583,583,25.19699097
584,584,26.17453003
585,585,27.02218628
586,586,27.34347534
587,587,27.60324097
588,588,28.037323
589,589,29.56863403
590,590,31.54421997
591,591,32.90802002
592,592,33.50961304
593,593,33.86166382
594,594,33.95736694
595,595,33.78305054
596,596,33.52670288
597,597,33.25668335
598,598,32.96270752
599,599,32.69952393
600,600,32.39874268
601,601,43.07662964
602,602,43.10739136
