OBJECTID,Name,Address,Latitude,Longitude
5,Carnegie Museum & Library,"4400 Forbes Ave, Pittsburgh, PA 15213",40.44339752,-79.95001984
7,Carnegie Library of Pittsburgh - Allegheny,"1230 Federal St, Pittsburgh, PA 15212",40.45660019,-80.00618744
8,Carnegie Library of Pittsburgh - Beechview,"1910 Broadway Ave, Pittsburgh, PA 15216",40.40719604,-80.02735901
9,Carnegie Library of Pittsburgh Brookline,"708 Brookline Blvd, Pittsburgh, PA 15226",40.39445114,-80.02132416
10,Carnegie Library of Pittsburgh - Carrick,"1811 Brownsville Rd, Pittsburgh, PA 15210",40.39704514,-79.98751068
11,Carnegie Library of Pittsburgh - Downtown,"612 Smithfield St, Pittsburgh, PA 15222",40.44181442,-79.99716949
12,Carnegie Library of Pittsburgh - East Liberty,"130 S Whitfield St, Pittsburgh, PA 15206",40.46093369,-79.92624664
13,Carnegie Library of Pittsburgh - Hazelwood,"5006 Second Ave, Pittsburgh, PA 15207",40.40834045,-79.94364166
14,Carnegie Library of Pittsburgh - Hill District,"2177 Centre Ave, Pittsburgh, PA 15219",40.44549179,-79.97638702
15,Carnegie Library of Pittsburgh - Homewood,"7101 Hamilton Ave, Pittsburgh, PA 15208",40.45521927,-79.89910889
16,Carnegie Library of Pittsburgh - Lawrenceville,"279 Fisk St, Pittsburgh, PA 15201",40.46768188,-79.95884705
17,Carnegie Library of Pittsburgh - Mt. Washington,"315 Grandview Ave, Pittsburgh, PA 15211",40.43366241,-80.00994873
18,Carnegie Library of Pittsburgh - Sheraden,"720 Sherwood Ave, Pittsburgh, PA 15204",40.45529556,-80.05619812
19,Carnegie Library of Pittsburgh - South Side,"2205 E Carson St, Pittsburgh, PA 15203",40.42882156,-79.97386169
20,Carnegie Library of Pittsburgh - Squirrel Hill,"5801 Forbes Ave, Pittsburgh, PA 15217",40.43836212,-79.92241669
21,Carnegie Library of Pittsburgh - West End,"47 Wabash St, Pittsburgh, PA 15220",40.44023132,-80.03330231
22,Carnegie Library of Pittsburgh - Woods Run,"1201 Woods Run Ave, Pittsburgh, PA 15212",40.47649765,-80.02978516
29,Library of Accessible Media for Pennsylvanians (LAMP),"4724 Baum Blvd, Pittsburgh, PA 15213",40.45386124,-79.94908142
