OBJECTID,Name,Address,Latitude,Longitude
1,,,,
2,Beechview Senior Healthy Active Living Center,"1555 Broadway Ave Ste 101, Pittsburgh, PA 15216",40.41085815,-80.02379608
3,Glen Hazel Senior Healthy Active Living Center,"945 Rosselle Ct, Pittsburgh, PA 15207",40.40668488,-79.93253326
4,Greenfield Senior Healthy Active Living Center,"745 Greenfield Ave, Pittsburgh, PA 15217",40.42431641,-79.9365921
5,Hazelwood Senior Healthy Active Living Center,"5344 Second Ave, Pittsburgh, PA 15207",40.40374756,-79.94215393
6,Homewood Senior Healthy Active Living Center,"7321 Frankstown Ave, Pittsburgh, PA 15208",40.45711136,-79.89253998
7,Lawrenceville Senior Healthy Active Living Center,"4600 Butler St, Pittsburgh, PA 15201",40.4731636,-79.95808411
8,Morningside Senior Healthy Active Living Center,"1802 Jancey St, Pittsburgh, PA 15206",40.48595047,-79.92588806
9,Mt. Washington Senior Healthy Active Living Center,"122 Virginia Ave, Pittsburgh, PA 15211",40.43010712,-80.00799561
10,Sheraden Senior Healthy Active Living Center,"720 Sherwood Ave, Pittsburgh, PA 15204",40.45516586,-80.05635071
11,Southside Senior Healthy Active Living Center,"49 S 12th St, Pittsburgh, PA 15203",40.42941284,-79.98587799
12,West End Senior Healthy Active Living Center,"80 Wabash St, Pittsburgh, PA 15220",40.43904114,-80.03398132
